CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAHBP,Bonnyville,Undetermined,,Town,Populated Place,TOWN,7bf4d561d05511d892e2080020a0f4c9,54.2672222,-110.7386111,"7,18-61-5-W4",Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAHYT,Bow Island,Undetermined,,Town,Populated Place,TOWN,7c59d8cad05511d892e2080020a0f4c9,49.8672222,-111.3788889,36-10-11-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAHDR,Bowden,Undetermined,,Town,Populated Place,TOWN,7c004712d05511d892e2080020a0f4c9,51.9322222,-114.0347222,23-34-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAIDN,Brooks,Undetermined,,City,Populated Place,CITY,7c65236bd05511d892e2080020a0f4c9,50.567222,-111.895,32-18-14-W4,Alberta,7500000,2005-09-01,Alberta Culture and Tourism
IAJHT,Bruderheim,Undetermined,,Town,Populated Place,TOWN,6a64fb57d05511d892e2080020a0f4c9,53.7997222,-112.9283333,32-55-20-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAKID,Calgary,Undetermined,,City,Populated Place,CITY,6a8ad2dad05511d892e2080020a0f4c9,51.0458333,-114.0574999,24-1-W5,Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IAKIL,Calmar,Undetermined,,Town,Populated Place,TOWN,8bb09102c6be11d892e2080020a0f4c9,53.2577778,-113.8108333,25-49-27-W4,Alberta,1000000,2002-06-01,Alberta Culture and Tourism
IAKKF,Camrose,Undetermined,,City,Populated Place,CITY,7a88c221d05511d892e2080020a0f4c9,53.0247222,-112.8241667,"46,47-20-W4",Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAPEQ,Canmore,Undetermined,,Town,Populated Place,TOWN,7ec1d84fd05511d892e2080020a0f4c9,51.0830555,-115.3683333,32-24-10-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAKML,Cardston,Undetermined,,Town,Populated Place,TOWN,7d77cc03d05511d892e2080020a0f4c9,49.2,-113.3038889,9-3-25-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IALCI,Carstairs,Undetermined,,Town,Populated Place,TOWN,7cfd6bd8d05511d892e2080020a0f4c9,51.5655555,-114.0994444,17-30-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IALMX,Castor,Undetermined,,Town,Populated Place,TOWN,7dbb1699d05511d892e2080020a0f4c9,52.2191667,-111.9036111,35-37-14-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAJAV,Chestermere,Undetermined,,Town,Populated Place,TOWN,7c868e1ed05511d892e2080020a0f4c9,51.0333333,-113.8166667,3-24-28-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAMMS,Claresholm,Undetermined,,Town,Populated Place,TOWN,7de7a4ddd05511d892e2080020a0f4c9,50.0197222,-113.5827778,26-12-27-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IANEO,Coaldale,Undetermined,,Town,Populated Place,TOWN,7e20b642d05511d892e2080020a0f4c9,49.7277777,-112.6186111,11-9-20-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IANEP,Coalhurst,Undetermined,,Town,Populated Place,TOWN,6b07f225d05511d892e2080020a0f4c9,49.7486111,-112.9294444,21-9-22-W4,Alberta,1000000,1995-06-01,Alberta Culture and Tourism
IAADI,Cochrane,Undetermined,,Town,Populated Place,TOWN,7a93bea2d05511d892e2080020a0f4c9,51.2066667,-114.4669444,"2,3-26-4-W5",Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAEFD,Cold Lake,Undetermined,,City,Populated Place,CITY,36b90f59c6ce11d892e2080020a0f4c9,54.45,-110.1666667,24-63-2-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IANKG,Coronation,Undetermined,,Town,Populated Place,TOWN,7e2c00e3d05511d892e2080020a0f4c9,52.0947223,-111.4477778,13-36-11-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOEN,Crossfield,Undetermined,,Town,Populated Place,TOWN,6b56393cd05511d892e2080020a0f4c9,51.4305556,-114.0308333,26-28-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAJBR,Crowsnest Pass,Undetermined,,Town,Populated Place,TOWN,7c95341fd05511d892e2080020a0f4c9,49.5888889,-114.5083333,32-7-4-W5,Alberta,7500000,1996-01-01,Alberta Culture and Tourism
IAPSJ,Daysland,Undetermined,,Town,Populated Place,TOWN,7ee34302d05511d892e2080020a0f4c9,52.8641666,-112.255,9-45-16-W4,Alberta,1000000,1955-01-20,Alberta Culture and Tourism
IABBD,Devon,Undetermined,,Town,Populated Place,TOWN,7aa9b7a4d05511d892e2080020a0f4c9,53.3622223,-113.7225,34-50-26-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IABMA,Didsbury,Undetermined,,Town,Populated Place,TOWN,7acad437d05511d892e2080020a0f4c9,51.6594444,-114.1375,18-31-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IABOA,Drayton Valley,Undetermined,,Town,Populated Place,TOWN,7ad868c8d05511d892e2080020a0f4c9,53.2241667,-114.9808333,17-49-7-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IABPA,Drumheller,Undetermined,,Town,Populated Place,TOWN,8b5e7a5ac6be11d892e2080020a0f4c9,51.4644444,-112.7188889,20-28-19-W4,Alberta,7500000,2003-01-01,Alberta Culture and Tourism
IACEK,Eckville,Undetermined,,Town,Populated Place,TOWN,8851af3fc6be11d892e2080020a0f4c9,52.36,-114.3669444,16-39-3-W5,Alberta,1000000,2002-01-01,Alberta Culture and Tourism
IACMP,Edmonton,Undetermined,,City,Populated Place,CITY,8b296095c6be11d892e2080020a0f4c9,53.5344445,-113.4902778,,Alberta,30000000,2002-01-01,Alberta Culture and Tourism
IACMW,Edson,Undetermined,,Town,Populated Place,TOWN,68e3b265d05511d892e2080020a0f4c9,53.5836111,-116.4327778,53-17-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IACOR,Elk Point,Undetermined,,Town,Populated Place,TOWN,7b0ff38dd05511d892e2080020a0f4c9,53.9011111,-110.9005556,57-7-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IADDJ,Fairview,Undetermined,,Town,Populated Place,TOWN,6926fcfbd05511d892e2080020a0f4c9,56.0672222,-118.3841667,34-81-3-W6,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IADDT,Falher,Undetermined,,Town,Populated Place,TOWN,7b2661bfd05511d892e2080020a0f4c9,55.7372222,-117.2013889,4-78-21-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAFFG,Fort Macleod,Undetermined,,Town,Populated Place,TOWN,7b8c7698d05511d892e2080020a0f4c9,49.7230555,-113.4041667,12-9-26-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAFFM,Fort Saskatchewan,Undetermined,,City,Populated Place,CITY,7a5be5bdd05511d892e2080020a0f4c9,53.7111111,-113.2177778,32-54-22-W4,Alberta,7500000,2002-01-01,Alberta Culture and Tourism
IAFHC,Fox Creek,Undetermined,,Town,Populated Place,TOWN,537fcd90c6be11d892e2080020a0f4c9,54.3941666,-116.8066667,32-62-19-W5,Alberta,7500000,2002-01-01,Alberta Culture and Tourism
IAASX,Gibbons,Undetermined,,Town,Populated Place,TOWN,7ae3b369d05511d892e2080020a0f4c9,53.8297222,-113.3283333,10-56-23-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAHMM,Grande Prairie,Undetermined,,City,Populated Place,CITY,7a67094ed05511d892e2080020a0f4c9,55.1708334,-118.7961111,71-6-W6,Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IAHQY,Grimshaw,Undetermined,,Town,Populated Place,TOWN,7c2c6026d05511d892e2080020a0f4c9,56.1886112,-117.6058333,17-83-23-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAINF,Hanna,Undetermined,,Town,Populated Place,TOWN,7c7046fcd05511d892e2080020a0f4c9,51.6458334,-111.9252778,9-31-14-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAINT,Hardisty,Undetermined,,Town,Populated Place,TOWN,7c7b6a8dd05511d892e2080020a0f4c9,52.675,-111.3044444,6-43-9-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAJVJ,High Level,Undetermined,,Town,Populated Place,TOWN,9f6d72f0d05411d892e2080020a0f4c9,58.5180555,-117.1288889,110-19-W5,Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IAJVM,High Prairie,Undetermined,,Town,Populated Place,TOWN,7caba251d05511d892e2080020a0f4c9,55.4322223,-116.4944444,25-74-17-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAJVO,High River,Undetermined,,Town,Populated Place,TOWN,8b72c5acc6be11d892e2080020a0f4c9,50.5797223,-113.8741667,6-19-28-W4,Alberta,7500000,2002-07-01,Alberta Culture and Tourism
IAJWU,Hinton,Undetermined,,Town,Populated Place,TOWN,7cba9672d05511d892e2080020a0f4c9,53.4111111,-117.5627778,"51-24,25-W5",Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IALBX,Innisfail,Undetermined,,Town,Populated Place,TOWN,7da4cf77d05511d892e2080020a0f4c9,52.028139,-113.950639,21-35-28-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IALYH,Irricana,Undetermined,,Town,Populated Place,TOWN,8be47247c6be11d892e2080020a0f4c9,51.3236111,-113.6080556,21-27-26-W4,Alberta,1000000,2002-02-20,Alberta Culture and Tourism
IABDM,Killam,Undetermined,,Town,Populated Place,TOWN,68884cedd05511d892e2080020a0f4c9,52.7897223,-111.8552778,17-44-13-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IABSI,Lac La Biche,Undetermined,,Town,Populated Place,TOWN,7aeeafead05511d892e2080020a0f4c9,54.7702778,-111.9791667,6-67-13-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IABSM,Lacombe,Undetermined,,City,Populated Place,CITY,68aa79f0d05511d892e2080020a0f4c9,52.464444,-113.734167,30-40-26-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IACGW,Lamont,Undetermined,,Town,Populated Place,TOWN,7b04cffcd05511d892e2080020a0f4c9,53.7591666,-112.7844444,55-19-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IACUJ,Leduc,Undetermined,,City,Populated Place,CITY,7a7d2960d05511d892e2080020a0f4c9,53.2666666,-113.5458333,49-25-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IACUY,Legal,Undetermined,,Town,Populated Place,TOWN,7a02f045d05511d892e2080020a0f4c9,53.9495,-113.595111,24-57-25-W4,Alberta,1000000,1998-01-01,Alberta Culture and Tourism
IADGP,Lethbridge,Undetermined,,City,Populated Place,CITY,9d7ced64d05411d892e2080020a0f4c9,49.6936111,-112.8419444,"8,9-21-W4",Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IADVK,Lloydminster,Undetermined,,City,Populated Place,CITY,5bc0b0f5ba3411d892e2080020a0f4c9,53.2838889,-110,1-50-1-W4,Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IAGRW,Magrath,Undetermined,,Town,Populated Place,TOWN,69f2ff9dd05511d892e2080020a0f4c9,49.4077778,-112.8666667,5-22-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAGUD,Manning,Undetermined,,Town,Populated Place,TOWN,8b688c7bc6be11d892e2080020a0f4c9,56.9222222,-117.6283333,28-91-23-W5,Alberta,7500000,2001-11-28,Alberta Culture and Tourism
IAHVB,Mayerthorpe,Undetermined,,Town,Populated Place,TOWN,7c37d1d7d05511d892e2080020a0f4c9,53.9547222,-115.1380556,28-57-8-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAHYE,McLennan,Undetermined,,Town,Populated Place,TOWN,7c42f568d05511d892e2080020a0f4c9,55.7086111,-116.9072222,32-77-19-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAIUC,Medicine Hat,Undetermined,,City,Populated Place,CITY,7a722cdfd05511d892e2080020a0f4c9,50.0408334,-110.6766667,12-5-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAJZQ,Milk River,Undetermined,,Town,Populated Place,TOWN,7d615dd1d05511d892e2080020a0f4c9,49.15,-112.0866667,28-2-16-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAKAM,Millet,Undetermined,,Town,Populated Place,TOWN,7d6ca872d05511d892e2080020a0f4c9,53.0961111,-113.4727778,32-47-24-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IALHY,Morinville,Undetermined,,Town,Populated Place,TOWN,7db04128d05511d892e2080020a0f4c9,53.8027778,-113.6438889,"55,56-25-W4",Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAMFL,Mundare,Undetermined,,Town,Populated Place,TOWN,7ddc814cd05511d892e2080020a0f4c9,53.5938889,-112.3416667,19-53-16-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAMSK,Nanton,Undetermined,,Town,Populated Place,TOWN,7e09f9f0d05511d892e2080020a0f4c9,50.35,-113.7666667,15-16-28-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IANAR,Okotoks,Siksika,,Town,Populated Place,TOWN,8bbaca33c6be11d892e2080020a0f4c9,50.7261111,-113.9775,28-20-29-W4,Alberta,1000000,2004-01-01,Alberta Culture and Tourism
IAONC,Olds,Undetermined,,Town,Populated Place,TOWN,7e636498d05511d892e2080020a0f4c9,51.7919444,-114.1075,32-32-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IANYJ,Oyen,Undetermined,,Town,Populated Place,TOWN,7e4220f5d05511d892e2080020a0f4c9,51.3527778,-110.4833333,34-27-4-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAEWL,Peace River,Undetermined,,Town,Populated Place,TOWN,7b740c96d05511d892e2080020a0f4c9,56.2358334,-117.2986111,"83,84-21-W5",Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAQKF,Penhold,Undetermined,,Town,Populated Place,TOWN,7eeeb4b3d05511d892e2080020a0f4c9,52.1369444,-113.8730556,36-36-28-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IABJB,Picture Butte,Undetermined,,Town,Populated Place,TOWN,7ab4b425d05511d892e2080020a0f4c9,49.8769444,-112.7797222,2-11-21-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IABJX,Pincher Creek,Undetermined,,Town,Populated Place,TOWN,7abfb0a6d05511d892e2080020a0f4c9,49.4852778,-113.9475,6-30-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IABXV,Ponoka,Siksika,,Town,Populated Place,TOWN,7af9ac6bd05511d892e2080020a0f4c9,52.675,-113.58,4-43-25-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IADQF,Provost,Undetermined,,Town,Populated Place,TOWN,7b3ca8e1d05511d892e2080020a0f4c9,52.3533333,-110.2647222,17-39-2-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAEGE,Rainbow Lake,Undetermined,,Town,Populated Place,TOWN,7b52f003d05511d892e2080020a0f4c9,58.5044444,-119.4002778,109-9-W6,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAEIX,Raymond,Undetermined,,Town,Populated Place,TOWN,7a2f3069d05511d892e2080020a0f4c9,49.465,-112.6611111,6-20-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAEJS,Red Deer,Undetermined,,City,Populated Place,CITY,7a509b1cd05511d892e2080020a0f4c9,52.2686111,-113.8102778,16-38-27-W4,Alberta,15000000,1995-01-01,Alberta Culture and Tourism
IAEJQ,Redcliff,Undetermined,,Town,Populated Place,TOWN,7b5e1394d05511d892e2080020a0f4c9,50.0775,-110.7855556,8-13-6-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAEKV,Redwater,Undetermined,,Town,Populated Place,TOWN,7b693725d05511d892e2080020a0f4c9,53.9508334,-113.1075,30-57-21-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAEYK,Rimbey,Undetermined,,Town,Populated Place,TOWN,7b7ff377d05511d892e2080020a0f4c9,52.6391667,-114.2366667,28-42-2-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAFOG,Rocky Mountain House,Undetermined,,Town,Populated Place,TOWN,7bd31c8ed05511d892e2080020a0f4c9,52.3747222,-114.9219444,22-39-7-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAHHS,Sedgewick,Undetermined,,Town,Populated Place,TOWN,7c0b4393d05511d892e2080020a0f4c9,52.7747223,-111.6927778,9-44-12-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAHJF,Sexsmith,Undetermined,,Town,Populated Place,TOWN,7c166724d05511d892e2080020a0f4c9,55.3502778,-118.7816667,25-73-6-W6,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAIJK,Slave Lake,Undetermined,,Town,Populated Place,TOWN,6a4390a4d05511d892e2080020a0f4c9,55.2822222,-114.7702778,31-72-5-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAJND,Smoky Lake,Undetermined,,Town,Populated Place,TOWN,7ca0a5d0d05511d892e2080020a0f4c9,54.1166666,-112.4666667,22-59-17-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAKPR,Spirit River,Undetermined,,Town,Populated Place,TOWN,7d8316a4d05511d892e2080020a0f4c9,55.7786111,-118.8366667,22-78-6-W6,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAKRM,Spruce Grove,Undetermined,,City,Populated Place,CITY,6aa1410cd05511d892e2080020a0f4c9,53.5538889,-113.9022222,3-53-27-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAGHN,St. Albert,Undetermined,,City,Populated Place,CITY,8b3372b6c6be11d892e2080020a0f4c9,53.6369444,-113.6202778,4-54-25-W4,Alberta,7500000,2002-01-01,Alberta Culture and Tourism
IAGIL,St. Paul,Undetermined,,Town,Populated Place,TOWN,69ba8a78d05511d892e2080020a0f4c9,53.9927777,-111.2961111,8-58-9-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAKTN,Stavely,Undetermined,,Town,Populated Place,TOWN,7d8e6145d05511d892e2080020a0f4c9,50.1611111,-113.6416667,8-14-27-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAKUR,Stettler,Undetermined,,Town,Populated Place,TOWN,7d995dc6d05511d892e2080020a0f4c9,52.3238889,-112.7044444,5-39-19-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IALSL,Stony Plain,Undetermined,,Town,Populated Place,TOWN,7dc63a2ad05511d892e2080020a0f4c9,53.5263889,-114.0069444,36-52-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IALTU,Strathmore,Undetermined,,Town,Populated Place,TOWN,7dd136abd05511d892e2080020a0f4c9,51.0455556,-113.3930556,14-24-25-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAMOD,Sundre,Undetermined,,Town,Populated Place,TOWN,7df38bbed05511d892e2080020a0f4c9,51.7955555,-114.6377778,3-33-5-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAMQE,Swan Hills,Undetermined,,Town,Populated Place,TOWN,7dfed65fd05511d892e2080020a0f4c9,54.7166666,-115.4016667,14-66-10-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAMRT,Sylvan Lake,Undetermined,,Town,Populated Place,TOWN,a081f047d05411d892e2080020a0f4c9,52.3088888,-114.0977778,38-1-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAAFM,Taber,Undetermined,,Town,Populated Place,TOWN,7a9ebb23d05511d892e2080020a0f4c9,49.78475,-112.150972,5-10-16-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAMTX,Thorsby,Undetermined,,Town,Populated Place,TOWN,5545c0adc6be11d892e2080020a0f4c9,53.2269445,-114.0480556,14-49-1-W5,Alberta,1000000,2016-12-13,Alberta Culture and Tourism
IAMUB,Three Hills,Undetermined,,Town,Populated Place,TOWN,7e156ba1d05511d892e2080020a0f4c9,51.7030555,-113.2686111,36-31-24-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IANTB,Tofield,Undetermined,,Town,Populated Place,TOWN,6b34ce89d05511d892e2080020a0f4c9,53.3708333,-112.6658333,1-51-19-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOUD,Trochu,Undetermined,,Town,Populated Place,TOWN,7e91a08bd05511d892e2080020a0f4c9,51.8286111,-113.2280556,17-33-23-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOVI,Turner Valley,Undetermined,,Town,Populated Place,TOWN,7e9ebfecd05511d892e2080020a0f4c9,50.6752778,-114.2802778,12-20-3-W5,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOXK,Two Hills,Undetermined,,Town,Populated Place,TOWN,7eaaf4edd05511d892e2080020a0f4c9,53.7111111,-111.7447222,32-54-12-W4,Alberta,1000000,1941-09-11,Alberta Culture and Tourism
IAOBD,Valleyview,Undetermined,,Town,Populated Place,TOWN,6b3ff21ad05511d892e2080020a0f4c9,55.065944,-117.281861,21-70-22-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAOBO,Vauxhall,Undetermined,,Town,Populated Place,TOWN,7e4d4486d05511d892e2080020a0f4c9,50.0683333,-112.1066667,10-13-16-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOBT,Vegreville,Undetermined,,Town,Populated Place,TOWN,7e372474d05511d892e2080020a0f4c9,53.4955555,-112.0516667,18-52-14-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAOMB,Vermilion,Undetermined,,Town,Populated Place,TOWN,7e586817d05511d892e2080020a0f4c9,53.3547222,-110.8527778,32-50-6-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAONY,Viking,Undetermined,,Town,Populated Place,TOWN,7e6e8829d05511d892e2080020a0f4c9,53.0947222,-111.7755556,36-47-13-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOPA,Vulcan,Undetermined,,Town,Populated Place,TOWN,7e79abbad05511d892e2080020a0f4c9,50.4041666,-113.2605556,5-17-24-W4,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAOQH,Wainwright,Undetermined,,Town,Populated Place,TOWN,8bc52a74c6be11d892e2080020a0f4c9,52.8341666,-110.8580556,31-44-6-W4,Alberta,7500000,2002-01-01,Alberta Culture and Tourism
IAPGS,Wembley,Undetermined,,Town,Populated Place,TOWN,7eccfbe0d05511d892e2080020a0f4c9,55.1555556,-119.1458333,15-71-8-W6,Alberta,1000000,1995-01-01,Alberta Culture and Tourism
IAPIL,Westlock,Undetermined,,Town,Populated Place,TOWN,7ed7f861d05511d892e2080020a0f4c9,54.1552778,-113.8569444,5-60-26-W4,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
IAPBB,Wetaskiwin,Cree,,City,Populated Place,CITY,8b3dfa07c6be11d892e2080020a0f4c9,52.9691667,-113.3769444,14-46-24-W4,Alberta,7500000,2003-01-01,Alberta Culture and Tourism
IAPCL,Whitecourt,Undetermined,,Town,Populated Place,TOWN,7eb63f8ed05511d892e2080020a0f4c9,54.1411111,-115.6841667,35-59-12-W5,Alberta,7500000,1995-01-01,Alberta Culture and Tourism
JABNO,Abbotsford,Undetermined,,City,Populated Place,CITY,c2fa52c6c6cd11d892e2080020a0f4c9,49.052222,-122.329167,New Westminster Land District,British Columbia,50000,1974-05-29,"British Columbia-Forests, Lands, Natural Resources"
JAQIY,Armstrong,Undetermined,,City,Populated Place,CITY,0c92f9cd849c20c37258de6ec3357848,50.448333,-119.196667,Kamloops Division Yale Land District,British Columbia,1000000,1951-02-07,"British Columbia-Forests, Lands, Natural Resources"
JAEBN,Burnaby,Undetermined,,City,Populated Place,CITY,a38fccccd05411d892e2080020a0f4c9,49.242778,-122.972778,New Westminster Land District,British Columbia,1000000,1936-02-11,"British Columbia-Forests, Lands, Natural Resources"
JCJEN,Campbell River,Undetermined,,City,Populated Place,CITY,163fec35c6ce11d892e2080020a0f4c9,50.023056,-125.243611,Sayward Land District,British Columbia,7500000,2005-05-31,"British Columbia-Forests, Lands, Natural Resources"
JCAAC,Castlegar,Undetermined,,City,Populated Place,CITY,14c3ac51c6ce11d892e2080020a0f4c9,49.324444,-117.666944,Kootenay Land District,British Columbia,7500000,1981-12-15,"British Columbia-Forests, Lands, Natural Resources"
JCVCC,Chilliwack,Undetermined,,City,Populated Place,CITY,1a6c0919c6ce11d892e2080020a0f4c9,49.157778,-121.950833,New Westminster Land District,British Columbia,50000,1999-11-08,"British Columbia-Forests, Lands, Natural Resources"
